description,sync_key,llm_key,differs
"Recharge AS InvoiceNr","recharge","recharge",""
"Regninger","regninger","regninger",""
"Retrospillkongen","retrospillkongen","retrospillkongen",""
"Rustadsaga AS","rustadsaga","rustadsaga",""
"Rustadsaga Sportsst","rustadsaga","rustadsaga",""
"Ruter","ruter","ruter",""
"S-Bahn Berlin Automat BSA","s-bahn berlin automat b","s-bahn berlin","YES"
"S-Bahn Berlin Automat BZO","s-bahn berlin automat b","s-bahn berlin","YES"
"SAUTER","sauter","sauter",""
"SCANDLINES DE WEB","scandlines de web","scandlines de web",""
"SENTRALENMAT ØVRE SLOTTSG OSLO","sentralenmat øvre slottsg oslo","sentralenmat øvre slottsg oslo",""
"SHOP ""WWW.HOSTER.BY""","shop ""www.hoster.by""","shop ""www.hoster.by""",""
"SKJAK KOMMUNE","skjak kommune","skjak kommune",""
"SKORINGEN GRENS GRENSEN OSLO","skoringen grens grensen oslo","skoringen grens grensen oslo",""
"SKULLERUD SPORTS SENTER AS","skullerud sports senter as","skullerud sports senter as",""
"SMS VARSLING TRANS(ER) TYPE","sms varsling trans(er) type","sms varsling trans(er) type",""
"SMS/EFAKT TRANS(ER) TYPE","sms/efakt trans(er) type","sms/efakt trans(er) type",""
"SMÅ SPOR OSLO MARKVEIEN OSLO","små spor oslo markveien oslo","små spor oslo markveien oslo",""
"SNACKZONE KLÆBUVN TRONDHEIM","snackzone klæbuvn trondheim","snackzone klæbuvn trondheim",""
"SOSTRENE GRENE KONGENS GATE OSLO","sostrene grene kongens gate oslo","sostrene grene kongens gate oslo",""
"SPAR KYVANNET KYVANNSVEGEN TRONDHEIM","spar kyvannet kyvannsvegen trondheim","spar kyvannet kyvannsvegen trondheim",""
"SPOR AV NORD AS TOLLBUGATEN OSLO","spor av nord as tollbugaten oslo","spor av nord as tollbugaten oslo",""
"SPORT OUTLET STRØMSVEIEN OSLO","sport outlet strømsveien oslo","sport outlet strømsveien oslo",""
"SPRELL BUTIKK A CHRISTIAN MI BERGEN","sprell butikk a christian mi bergen","sprell butikk a christian mi bergen",""
"SPURS","spurs","spurs",""
"SQ LOCAL MARKETPLACE","sq local marketplace","sq local marketplace",""
"ST1 BERKÅK MJUKLIVEIEN RENNEBU","st1 berkåk mjukliveien rennebu","st1 berkåk mjukliveien rennebu",""
"STEAM PURCHASE","steam purchase","steam purchase",""
"STEPHANIE SKO B UTMARKVEIEN OSLO","stephanie sko b utmarkveien oslo","stephanie sko b utmarkveien oslo",""
"STIFTELSEN TRON HAVNEGATA TRONDHEIM","stiftelsen tron havnegata trondheim","stiftelsen tron havnegata trondheim",""
"STOCKFLETHS AVD SCHOUS PLASS OSLO","stockfleths avd schous plass oslo","stockfleths avd schous plass oslo",""
"SUNNMØRSBADET LISJEBØVEGEN FOSNAVÅG","sunnmørsbadet lisjebøvegen fosnavåg","sunnmørsbadet lisjebøvegen fosnavåg",""
"SUPERMAGNETER.NO","supermagneter.no","supermagneter.no",""
"SVANEN COCKTAIL KARL JOHANSG OSLO","svanen cocktail karl johansg oslo","svanen cocktail karl johansg oslo",""
"SVEA FINANS AS","svea finans as","svea finans as",""
"SWEET DEKOR AS","sweet dekor as","sweet dekor as",""
"Santander Consumer Bank","santander consumer bank","santander consumer bank",""
"Santander Consumer Bank As","santander consumer bank","santander consumer bank",""
"Selfmade NO","selfmade","selfmade",""
"Selfmade Oslo","selfmade","selfmade",""
"Sentralen Restauran","sentralen restauran","sentralen restauran",""
"Silje Midbrød Siristuen","silje midbrød siristuen","silje midbrød siristuen",""
"Siri Aagedal","siri aagedal","siri aagedal",""
"SkatePro","skatepro","skatepro",""
"Skatt","skatt","skatt",""
"Skatteetaten - Skatteinnkreving","skatt","skatteetaten","YES"
"Skiforeningen","skiforeningen","skiforeningen",""
"Skolelyst","skolelyst","skolelyst",""
"Småsparing","småsparing","småsparing",""
"Småsparing stk avrunding","småsparing","småsparing",""
"SoftWashAS","softwashas","softwashas",""
"Spar Fil.","spar fil","spar fil.","YES"
"Spotify P36779C316","spotify","spotify",""
"Spotify P38456D6B1","spotify","spotify",""
"Spotify P3936A1B96","spotify","spotify",""
"Spotify P3A33AA369","spotify","spotify",""
"Spotify P3B2BF6BE7","spotify","spotify",""
"Spotify P3C190FF61","spotify","spotify",""
"Spotify P3D120E610","spotify","spotify",""
"SpotifySE","spotify","spotify",""
"Stokke A.S","stokke a.s","stokke a.s",""
"Sunniva Halten","sunniva halten","sunniva halten",""
"Svea Finans AS","svea finans as","svea finans as",""
"Swedbank Pay","swedbank pay","swedbank pay",""
"Sweet Dekor As","sweet dekor as","sweet dekor as",""
"Sykkelrep","sykkelrep","sykkelrep",""
"Sørli parsellhage Parsell Anita og Kjetil","sørli parsellhage parsell anita og kjetil","sørli parsellhage parsell anita og kjetil",""
"TEKNIKDELAR.SE","teknikdelar.se","teknikdelar.se",""
"TELENORMARITIME.COM","telenormaritime.com","telenormaritime.com",""
"TESLA NORWAY AS","tesla norway as","tesla norway as",""
"THANSEN A/S - A ENEBAKKVEIEN OSLO","thansen a/s - a enebakkveien oslo","thansen a/s - a enebakkveien oslo",""
"THAUGLAND AS AB ENEBAKKVEIEN OSLO","thaugland as ab enebakkveien oslo","thaugland as ab enebakkveien oslo",""
"THE NEW YORK TIMES","the new york times","the new york times",""
"TINE FOTBALLSKO","tine fotballsko","tine fotballsko",""
"TOLLGAARDE SCHWEIGAARDS OSLO","tollgaarde schweigaards oslo","tollgaarde schweigaards oslo",""
"TONERWEB.NO","tonerweb.no","tonerweb.no",""
"TOOLZ E-COMMERCE BV","toolz e-commerce bv","toolz e-commerce bv",""
"TRENINGSAVGIFT","treningsavgift","treningsavgift",""
"TUNEONDESIG","tuneondesig","tuneondesig",""
"TV NO O-","tv no o","tv no o-","YES"
"Telenor Norge AS","telenor norge as","telenor norge as",""
"Tesla Czech Republic s.r","tesla","tesla",""
"Tesla Inc","tesla","tesla",""
"Tesla_NO","tesla","tesla",""
"Thank you","thank you","thank you",""
"TicketCo AS","ticket","ticketco","YES"
"TicketMaster LLC","ticket","ticketmaster","YES"
"Til: Boliglån","til: boliglån","til: boliglån",""
"Toppers Desse BE4RY26Z","toppers desse be4ry26z","toppers desse be4ry26z",""
"Tur","tur","tur",""
"UBER EATS","uber eats","uber eats",""
"Utdanningsetaten","utdanningsetaten","utdanningsetaten",""
"VENDCOMATICAS","vendcomaticas","vendcomaticas",""
"VERKTER.NO","verkter.no","verkter.no",""
"VG+","vg+","vg+",""
"VIKEN TEPPEVASK AS","viken teppevask as","viken teppevask as",""
"VINMONOPO ALNA OSLO","vinmonopo","vinmonopolet","YES"
"VINMONOPOLET OS UTMARKVEIEN OSLO","vinmonopo","vinmonopolet","YES"
"VY App","vy app","vy app",""
"Vegard Troøyen Foseide","vegard troøyen foseide","vegard troøyen foseide",""
"Verdensrommet","verdensrommet","verdensrommet",""
"Vesper Gastrobar","vesper gastrobar","vesper gastrobar",""
"W.B. Samson Pop-Up","w.b. samson pop-up","w.b. samson pop-up",""
"WH Smith Norway","wh smith norway","wh smith norway",""
"WIDEROE","wideroe","wideroe",""
"WWW.VPG.NO","www.vpg.no","www.vpg.no",""
"Wings Thing B9XGJLYR","wings thing b9xgjlyr","wings thing b9xgjlyr",""
"Wolt","wolt","wolt",""
"XPLORA Mobile AS","xplora mobile as","xplora mobile as",""
"XXL NOR ALN STRØMSVEIEN OSLO","xxl nor","xxl","YES"
"XXL NOR NAF STORGATA OSLO","xxl nor","xxl","YES"
"XXL NOR STO GUNNAR SCHJE OSLO","xxl nor","xxl","YES"
"XXL.NO Walley","xxl.no walley","xxl.no walley",""
"YX -ELEVEN NEDRE KALLBA OSLO","yx -eleven nedre kallba oslo","yx -eleven nedre kallba oslo",""
"ZEITLOS EISCAFE","zeitlos eiscafe","zeitlos eiscafe",""
"ZETA - JACE AI","zeta","zeta",""
"ZETA AI, INC","zeta","zeta",""
"ZOTTER SCHOKOLADE","zotter schokolade","zotter schokolade",""
"Zalando Payments GmbH","zalando payments gmbh","zalando payments gmbh",""
"Zmrzka","zmrzka","zmrzka",""
"aliexpress","aliexpress","aliexpress",""
"csibikecom","csibikecom","csibikecom",""
"eFaktura AvtaleGiro","efaktura avtalegiro","efaktura avtalegiro",""
"mai Noeklevann s","mai noeklevann s","mai noeklevann s",""
"samsofie.no","samsofie.no","samsofie.no",""
"skolyx.se","skolyx.se","skolyx.se",""
"speidersport.no","speidersport.no","speidersport.no",""
"waveshare","waveshare","waveshare",""
"Årspris Visa med legitimasjon","årspris visa","årspris visa",""
"Årspris Visa uten legitimasjon","årspris visa","årspris visa",""
"Øyvind Fagerholt","øyvind fagerholt","øyvind fagerholt",""
